CreationDate,Score
"2012-03-16 11:04:16","4"
"2019-02-01 17:41:17","0"
"2012-07-18 08:18:13","1"
"2011-11-17 09:41:32","2"
"2010-10-05 12:06:45","7"
"2016-08-04 08:40:12","1"
"2013-11-14 14:35:02","0"
"2017-07-06 09:11:16","0"
"2019-05-23 05:46:05","0"
"2013-01-25 15:56:06","1"
"2017-07-11 15:37:59","2"
"2012-07-26 01:35:12","1"
"2019-10-31 10:51:24","1"
"2012-05-17 20:42:25","1"
"2015-10-02 07:53:56","1"
"2018-03-28 09:13:30","0"
"2014-11-22 20:01:07","2"
"2013-04-01 20:20:41","10"
"2014-12-19 21:08:02","-2"
"2018-05-09 09:30:09","0"
"2011-10-14 13:28:10","7"
"2014-11-29 16:58:03","1"
"2012-03-17 14:34:48","5"
"2013-06-12 14:34:55","7"
"2012-01-26 12:39:42","2"
"2011-05-09 10:47:08","5"
"2012-02-15 03:51:35","2"
"2015-12-18 12:36:21","1"
"2013-09-30 04:25:52","-1"
"2013-07-31 06:59:25","0"
"2013-06-29 01:23:04","4"
"2015-08-14 22:59:40","0"
"2018-08-03 09:54:06","0"
"2014-01-20 15:21:44","0"
"2013-06-06 09:14:31","1"
"2011-08-29 05:00:58","1"
"2012-06-12 13:52:52","3"
"2017-01-19 02:02:03","0"
"2014-09-17 12:04:59","1"
"2016-01-29 17:58:43","0"
"2014-12-05 14:47:53","0"
"2013-04-20 14:56:39","1"
"2016-02-01 00:03:49","5"
"2012-03-06 15:06:08","2"
"2010-12-13 01:24:44","7"
"2017-04-11 08:32:21","0"
"2014-08-13 07:20:12","6"
"2013-03-07 12:56:31","1"
"2013-08-20 01:22:10","0"
"2019-07-04 05:36:33","0"
"2016-03-13 21:02:27","0"
"2013-08-07 01:56:37","0"
"2012-07-13 09:14:02","3"
"2015-11-25 12:50:07","0"
"2014-09-25 10:38:13","8"
"2012-06-26 08:19:01","0"
"2012-07-22 18:13:39","5"
"2010-12-11 06:57:56","2"
"2014-12-06 18:46:13","-1"
"2018-06-28 10:30:32","0"
"2012-03-29 09:54:33","2"
"2011-06-28 20:01:52","6"
"2015-09-15 17:01:53","2"
"2017-04-25 12:37:33","0"
"2015-11-10 00:45:43","3"
"2012-03-15 05:55:59","3"
"2017-07-22 22:14:48","1"
"2013-03-19 10:30:47","0"
"2014-12-06 01:52:11","0"
"2014-06-05 14:52:49","4"
"2012-01-19 10:02:56","2"
"2016-02-29 21:20:09","0"
"2012-10-04 10:56:27","2"
"2012-02-24 09:31:20","-1"
"2011-07-24 08:51:59","1"
"2014-05-07 12:32:15","1"
"2012-05-24 07:45:29","0"
"2012-03-01 16:05:10","6"
"2019-05-14 13:27:33","0"
"2018-09-07 01:13:23","0"
"2014-02-13 20:37:48","0"
"2014-08-25 08:08:36","0"
"2014-04-10 08:11:34","0"
"2017-08-30 07:02:45","0"
"2011-09-04 20:38:33","2"
"2011-10-25 05:39:34","4"
"2012-07-15 17:58:44","0"
"2015-07-10 03:02:01","0"
"2011-11-27 18:00:31","2"
"2013-03-22 17:01:26","0"
"2017-11-08 11:55:49","1"
"2017-04-13 13:09:53","0"
"2011-03-22 11:04:18","25"
"2016-10-24 20:16:54","1"
"2012-04-02 15:30:55","0"
"2015-12-19 02:10:43","2"
"2016-06-22 09:20:35","0"
"2019-08-20 06:06:21","1"
"2015-04-29 13:50:47","2"
"2017-08-07 09:44:59","1"
"2013-02-08 21:07:02","2"
"2014-03-26 08:00:28","0"
"2012-10-30 11:03:59","0"
"2012-12-15 10:16:48","1"
"2017-06-26 06:37:42","0"
"2014-03-03 05:05:18","1"
"2012-05-16 21:08:16","1"
"2015-03-02 14:43:18","5"
"2013-12-12 02:29:12","5"
"2013-05-24 17:14:01","0"
"2014-02-26 14:57:42","2"
"2017-08-17 02:21:13","0"
"2013-08-31 04:15:11","1"
"2014-05-07 06:17:55","2"
"2012-02-23 05:43:46","1"
"2011-10-28 13:23:03","0"
"2017-04-11 12:08:16","1"
"2016-09-16 11:02:43","0"
"2012-09-28 02:33:52","0"
"2012-12-19 04:28:40","0"
"2020-04-29 04:47:05","0"
"2013-05-08 13:04:50","2"
"2012-04-28 09:45:02","5"
"2012-04-07 09:06:53","9"
"2020-01-22 19:25:15","1"
"2011-05-11 13:38:12","3"
"2012-09-07 05:02:11","0"
"2012-05-02 17:27:31","9"
"2015-04-01 14:28:51","1"
"2013-08-21 10:22:49","1"
"2014-10-06 16:14:49","9"
"2015-11-11 09:47:20","0"
"2014-04-02 09:53:12","0"
"2014-04-03 11:51:37","0"
"2012-03-04 12:58:55","1"
"2014-05-13 21:06:30","0"
"2014-06-15 07:13:24","0"
"2012-09-25 08:04:52","5"
"2013-06-29 20:34:50","1"
"2014-01-22 22:09:29","0"
"2011-07-15 09:28:38","1"
"2014-02-06 07:28:58","0"
"2018-11-30 02:09:07","0"
"2018-08-28 17:02:21","0"
"2016-06-13 17:11:54","1"
"2012-10-08 16:36:46","1"
"2012-08-30 17:32:55","0"
"2016-10-11 07:58:08","1"
"2012-05-16 10:17:49","7"
"2011-07-20 20:50:40","1"
"2013-01-21 16:33:09","5"
"2013-09-05 12:14:08","4"
"2012-02-03 10:27:09","0"
"2015-03-12 01:31:06","3"
"2012-10-26 22:27:50","1"
"2015-06-24 03:13:19","0"
"2013-10-19 12:49:27","5"
"2012-09-12 03:09:38","0"
"2012-09-12 20:29:59","3"
"2017-10-18 04:41:55","2"
"2012-11-01 18:33:07","0"
"2012-03-11 18:29:17","2"
"2012-03-21 09:02:33","0"
"2017-06-01 01:27:10","0"
"2013-03-07 03:16:25","2"
"2015-05-13 13:12:31","5"
"2016-06-22 14:36:25","-1"
"2017-02-03 16:57:42","0"
"2018-08-02 14:34:56","0"
"2019-12-05 22:27:46","0"
"2014-01-23 16:10:44","3"
"2013-12-17 15:26:07","1"
"2020-01-22 16:33:43","0"
"2017-06-27 11:59:42","1"
"2012-04-25 15:07:28","4"
"2013-07-12 17:19:29","0"
"2014-06-05 17:47:07","0"
"2013-11-02 17:34:42","0"
"2017-11-11 06:15:21","0"
"2016-10-06 20:17:54","0"
"2013-10-20 13:06:44","1"
"2011-05-05 04:08:48","3"
"2013-06-14 07:04:13","0"
"2012-02-27 22:30:25","0"
"2016-03-25 11:24:10","1"
"2012-02-11 06:38:42","1"
"2013-06-26 13:06:37","-1"
"2015-03-03 16:01:02","1"
"2012-04-14 01:37:41","2"
"2012-06-28 15:53:42","-2"
"2018-07-08 22:01:21","0"
"2016-02-14 15:56:01","1"
"2015-06-30 19:18:31","1"
"2016-04-11 20:40:20","0"
"2016-04-19 09:57:05","0"
"2013-07-10 22:17:53","0"
"2011-07-18 10:15:49","4"
"2013-01-21 13:06:41","1"
"2012-03-24 21:00:02","0"
"2013-11-27 22:56:08","8"
"2018-03-25 14:57:07","1"
"2012-04-19 08:13:02","4"
"2016-02-02 02:00:39","0"
"2012-11-09 15:50:02","1"
"2013-05-31 10:20:01","0"
"2013-07-04 06:26:29","1"
"2018-05-15 07:44:37","1"
"2014-07-22 17:52:17","3"
"2018-03-04 11:17:26","1"
"2014-01-03 17:59:16","0"
"2011-07-19 15:57:16","10"
"2017-01-18 07:51:21","2"
"2012-05-24 17:24:12","11"
"2016-05-20 07:02:40","1"
"2015-09-16 21:46:31","0"
"2014-01-26 18:24:37","7"
"2013-08-10 12:01:50","6"
"2014-04-12 13:36:02","0"
"2019-06-04 14:45:01","1"
"2019-08-02 15:27:48","0"
"2011-10-18 16:41:31","3"
"2011-12-22 05:56:46","1"
"2016-01-30 21:54:07","0"
"2013-04-06 08:44:45","1"
"2012-09-21 04:11:58","0"
"2012-07-25 19:20:45","0"
"2019-10-24 07:41:22","0"
"2013-06-07 00:28:21","4"
"2012-09-01 14:41:40","1"
"2011-10-21 08:42:16","1"
"2012-12-13 23:47:00","0"
"2014-01-09 16:43:03","-2"
"2018-04-13 00:09:01","0"
"2017-09-14 09:19:23","0"
"2016-01-16 12:58:41","0"
"2013-05-28 14:11:46","0"
"2016-03-07 19:13:54","2"
"2014-06-17 06:45:43","9"
"2014-09-08 10:16:18","2"
"2018-01-21 04:49:16","1"
"2012-11-15 09:59:00","8"
"2013-12-12 04:57:03","2"
"2012-05-30 14:16:18","0"
"2014-04-26 07:37:59","0"
"2014-07-04 14:08:34","1"
"2012-12-19 08:03:16","3"
"2014-02-17 20:11:47","0"
"2012-04-26 20:45:17","3"
"2016-07-31 15:16:50","1"
"2017-09-14 15:13:17","0"
"2013-02-18 19:35:05","0"
"2012-05-31 14:32:30","0"
"2012-04-17 12:12:02","0"
"2012-12-14 17:18:40","1"
"2018-07-07 13:56:46","1"
"2012-12-12 12:30:05","1"
"2018-04-18 10:19:25","0"
"2011-09-15 08:12:29","0"
"2012-01-05 13:06:39","0"
"2012-10-03 22:51:24","3"
"2016-08-28 06:32:17","1"
"2013-03-07 12:12:00","1"
"2015-05-14 06:42:01","0"
"2012-07-10 15:28:09","2"
"2017-11-06 05:49:33","0"
"2019-08-17 00:30:35","0"
"2018-04-21 10:40:29","1"
"2012-10-10 12:52:22","0"
"2017-10-10 10:36:10","0"
"2014-09-15 11:15:15","1"
"2014-09-16 07:54:40","0"
"2016-05-23 07:20:41","0"
"2017-07-10 07:18:09","0"
"2012-05-10 16:32:02","3"
"2013-10-04 08:23:15","0"
"2015-12-28 14:46:25","0"
"2011-02-18 08:18:54","4"
"2012-08-31 09:53:37","0"
"2012-11-17 01:06:33","1"
"2012-11-02 00:59:07","5"
"2016-09-27 16:46:06","0"
"2019-01-31 15:59:55","1"
"2011-09-29 07:20:17","2"
"2015-12-09 21:07:09","1"
"2016-05-06 20:04:11","1"
"2012-10-02 01:48:14","6"
"2012-03-18 17:59:35","2"
"2015-07-07 14:57:43","4"
"2018-08-13 06:45:10","-1"
"2012-12-11 00:22:41","2"
"2012-11-05 14:01:09","3"
"2018-07-07 09:55:59","0"
"2012-06-05 13:58:30","10"
"2019-07-10 11:09:43","1"
"2018-11-26 15:02:21","1"
"2020-03-06 17:02:18","0"
"2012-06-26 13:04:53","2"
"2018-07-13 16:18:33","0"
"2012-08-15 09:55:01","1"
"2016-02-03 06:25:36","1"
"2013-05-15 14:53:15","1"
"2012-02-04 15:02:37","8"
"2012-02-04 17:10:46","1"
"2013-06-14 02:25:04","1"
"2012-07-23 07:39:34","0"
"2012-11-02 07:39:10","2"
"2014-07-15 19:57:46","1"
"2020-02-11 06:05:50","0"
"2012-07-04 09:40:06","1"
