CreationDate,Score
"2012-07-19 15:00:39","0"
"2012-10-22 10:09:35","2"
"2010-03-31 13:48:51","7"
"2010-05-02 22:54:36","20"
"2013-06-04 22:22:11","0"
"2015-02-10 01:59:08","4"
"2012-02-21 07:47:31","2"
"2016-03-24 14:04:14","0"
"2010-06-07 18:11:15","0"
"2017-05-04 15:18:51","5"
"2013-06-11 07:17:38","0"
"2013-06-11 08:46:47","0"
"2011-05-14 09:34:51","4"
"2019-04-03 16:20:46","0"
"2011-05-14 20:44:11","3"
"2011-10-08 13:41:16","0"
"2013-03-18 06:05:08","0"
"2016-08-08 10:47:20","0"
"2016-08-09 07:28:02","0"
"2011-10-26 20:34:10","0"
"2011-10-26 20:36:43","0"
"2011-10-28 20:53:25","2"
"2009-04-20 18:22:20","128"
"2010-12-08 02:53:11","2"
"2012-09-07 14:12:07","25"
"2020-05-10 11:56:01","0"
"2015-07-16 08:52:25","0"
"2019-06-21 14:49:29","1"
"2012-07-19 22:16:36","1"
"2015-06-22 08:11:50","0"
"2008-10-23 20:34:04","4"
"2011-10-14 09:29:31","0"
"2015-06-25 03:30:05","0"
"2010-10-20 12:34:12","2"
"2014-05-01 17:04:51","2"
"2015-06-25 16:55:57","4"
"2010-10-22 13:45:21","1"
"2011-10-20 20:01:54","8"
"2012-07-24 14:26:55","1"
"2010-10-28 10:24:00","32"
"2016-08-10 12:54:48","1"
"2014-05-07 13:35:17","0"
"2013-03-26 06:11:13","0"
"2013-03-22 01:53:33","0"
"2015-06-28 11:17:39","0"
"2014-12-05 12:55:56","0"
"2017-03-06 08:12:46","0"
"2012-07-28 13:59:03","3"
"2010-11-20 23:12:17","4"
"2011-10-29 02:55:29","1"
"2011-10-31 06:49:06","1"
"2010-11-11 11:04:17","0"
"2011-11-01 08:54:13","2"
"2014-12-05 13:18:07","0"
"2014-12-05 13:20:04","0"
"2016-02-04 20:19:38","0"
"2012-08-09 10:30:21","0"
"2013-10-25 21:25:59","0"
"2016-08-16 07:29:13","0"
"2018-05-13 21:52:33","-1"
"2015-07-10 20:44:09","0"
"2013-04-09 17:48:29","0"
"2011-10-07 16:56:35","1"
"2017-10-17 12:15:38","0"
"2013-04-03 10:00:01","39"
"2016-02-04 21:39:07","0"
"2009-04-21 13:49:35","7"
"2015-07-08 14:24:08","1"
"2011-11-13 22:03:37","0"
"2013-10-30 09:19:59","0"
"2010-12-02 18:40:45","8"
"2014-11-27 05:06:40","5"
"2014-11-27 05:08:14","0"
"2011-10-20 03:13:04","29"
"2011-10-20 03:15:17","2"
"2011-10-20 03:18:05","3"
"2013-10-31 23:07:24","4"
"2013-03-20 19:19:29","1"
"2011-11-16 20:20:31","0"
"2011-10-20 18:33:33","5"
"2010-12-08 10:28:35","-1"
"2010-10-28 12:53:23","13"
"2016-09-01 10:45:55","0"
"2010-12-08 11:43:37","9"
"2015-06-29 03:25:55","1"
"2011-11-21 14:06:16","0"
"2010-12-10 20:04:03","0"
"2015-06-30 12:26:07","0"
"2013-10-14 07:15:13","0"
"2014-12-28 22:15:54","0"
"2014-12-02 16:31:40","0"
"2017-10-02 08:02:18","0"
"2016-08-24 22:57:45","0"
"2017-03-01 06:37:02","0"
"2008-10-13 11:34:54","3"
"2009-06-01 15:44:45","0"
"2009-07-21 14:42:02","4"
"2013-11-06 01:04:03","4"
"2014-05-24 08:38:17","0"
"2016-01-25 04:08:44","2"
"2012-07-26 08:34:01","0"
"2012-08-22 03:44:53","1"
"2011-01-27 21:58:39","0"
"2014-12-02 17:08:35","1"
"2016-08-18 06:12:59","3"
"2015-07-17 13:34:04","0"
"2014-12-04 21:14:24","0"
"2012-09-14 07:36:12","0"
"2011-11-03 15:02:01","4"
"2008-09-19 11:53:13","9"
"2012-08-12 17:11:29","91"
"2011-02-08 17:18:53","1"
"2012-08-12 18:05:57","0"
"2011-02-08 18:02:05","0"
"2013-04-29 11:12:51","0"
"2011-10-15 00:36:08","-2"
"2018-05-12 18:29:52","0"
"2013-03-18 21:26:26","1"
"2012-09-14 16:41:09","0"
"2012-08-27 20:01:17","4"
"2018-05-30 03:57:12","0"
"2011-12-08 12:01:43","2"
"2015-07-11 07:36:44","1"
"2017-03-17 10:49:34","0"
"2013-10-30 09:56:11","2"
"2016-08-08 03:53:19","14"
"2016-02-18 14:55:12","1"
"2013-03-21 09:16:59","1"
"2013-04-20 13:11:25","0"
"2013-04-20 13:17:30","1"
"2014-06-03 01:52:06","0"
"2014-12-17 14:53:19","1"
"2013-11-01 07:54:38","9"
"2012-09-20 16:50:37","0"
"2017-03-04 05:37:09","0"
"2009-06-02 02:39:37","0"
"2011-11-18 15:35:03","6"
"2017-10-12 15:15:11","2"
"2012-08-20 15:53:48","0"
"2014-06-15 07:03:02","0"
"2012-07-26 23:06:13","0"
"2014-11-20 22:51:17","1"
"2017-10-01 12:24:16","0"
"2016-09-13 16:12:57","0"
"2015-07-16 13:36:13","0"
"2011-10-31 11:17:24","2"
"2013-11-23 18:57:22","0"
"2015-07-17 15:41:28","0"
"2015-07-17 15:42:31","1"
"2016-08-14 21:03:37","1"
"2016-08-04 12:12:58","0"
"2011-01-10 19:50:09","1"
"2014-12-06 14:01:29","1"
"2014-05-01 17:51:03","5"
"2013-11-12 18:32:40","2"
"2016-03-02 08:42:10","0"
"2012-08-28 03:52:09","1"
"2016-08-16 20:47:13","0"
"2013-11-30 20:02:40","0"
"2016-03-03 22:49:44","0"
"2010-11-26 08:54:03","9"
"2009-07-22 12:58:20","0"
"2013-04-20 20:53:38","0"
"2013-10-10 20:22:36","-1"
"2015-07-09 11:14:15","1"
"2012-10-06 18:16:54","0"
"2013-03-14 21:21:55","2"
"2013-03-14 21:22:31","1"
"2014-12-04 11:11:48","0"
"2011-01-30 06:00:19","0"
"2010-10-15 05:31:37","3"
"2009-05-13 09:56:21","1"
"2012-08-02 12:37:15","1"
"2011-12-22 15:53:20","6"
"2014-04-27 13:31:41","0"
"2010-12-11 17:09:07","0"
"2015-06-25 11:59:41","1"
"2013-10-11 19:28:38","0"
"2012-07-21 20:37:13","0"
"2017-09-22 09:35:11","5"
"2011-03-24 09:30:04","2"
"2011-03-24 09:34:17","1"
"2011-03-24 09:36:05","0"
"2011-01-20 15:19:55","1"
"2012-09-04 18:19:44","0"
"2015-06-24 05:47:18","-2"
"2016-02-22 16:30:30","0"
"2017-03-30 11:20:16","1"
"2013-04-11 21:51:17","2"
"2017-10-29 01:48:18","-3"
"2014-05-26 15:16:07","1"
"2009-06-16 15:21:15","1"
"2009-08-28 01:29:16","9"
"2010-12-25 00:08:22","13"
"2019-03-26 07:06:21","1"
"2017-03-30 12:29:25","0"
"2017-04-27 17:49:54","0"
"2011-04-02 20:32:32","1"
"2014-05-27 22:19:25","0"
"2013-12-20 20:12:18","0"
"2017-10-12 16:46:40","0"
"2013-04-08 00:26:23","1"
"2012-08-14 10:55:54","1"
"2010-11-03 08:51:48","2"
"2011-04-07 19:55:29","6"
"2011-04-07 20:00:56","3"
"2009-05-20 03:35:21","2"
"2019-03-28 13:18:28","0"
"2009-09-24 23:52:19","1"
"2009-09-25 00:44:43","1"
"2010-05-10 11:55:49","0"
"2013-04-17 18:36:07","0"
"2017-10-04 08:14:24","0"
"2012-09-10 07:52:22","2"
"2014-06-06 09:58:59","0"
"2017-10-04 08:32:24","0"
"2010-05-10 22:51:24","0"
"2011-12-16 07:27:35","4"
"2018-05-31 13:06:31","1"
"2010-05-11 13:24:17","2"
"2014-12-29 11:34:09","0"
"2013-10-25 13:48:35","0"
"2012-08-03 18:08:52","0"
"2013-10-27 09:28:22","1"
"2013-10-27 09:33:20","0"
"2009-09-26 21:46:10","10"
"2013-10-26 10:32:25","0"
"2014-12-31 05:16:02","0"
"2012-01-05 21:44:47","3"
"2013-04-25 01:57:09","0"
"2011-01-31 20:38:19","4"
"2011-01-14 11:45:15","0"
"2016-08-17 15:59:04","0"
"2012-09-15 06:32:52","1"
"2009-03-18 18:22:55","3"
"2015-07-26 01:13:57","0"
"2010-12-30 06:32:58","1"
"2016-02-21 18:42:46","-2"
"2010-11-29 15:24:37","2"
"2019-02-21 21:35:59","0"
"2012-09-15 16:00:19","0"
"2014-05-16 17:40:15","1"
"2009-10-20 08:10:37","2"
"2017-03-15 07:06:15","0"
"2011-12-26 07:47:07","3"
"2013-10-31 10:45:18","1"
"2013-04-16 15:44:26","0"
"2015-01-04 17:29:39","0"
"2010-12-03 16:49:14","10"
"2016-02-22 20:40:55","0"
"2011-02-10 10:15:10","1"
"2013-04-09 01:33:51","0"
"2011-12-08 20:55:10","10"
"2017-03-31 18:17:20","0"
"2014-05-19 16:51:32","2"
"2019-10-08 13:09:13","2"
"2012-07-16 18:47:31","0"
"2009-09-03 17:08:34","1"
"2011-02-18 21:52:52","1"
"2012-09-20 22:36:03","0"
"2011-11-28 11:02:35","1"
"2016-02-25 01:01:39","1"
"2012-08-29 21:56:47","0"
"2014-05-25 02:04:21","1"
"2012-01-13 02:53:06","0"
"2011-02-04 08:59:29","43"
"2009-09-29 22:58:32","0"
"2012-07-21 02:25:39","0"
"2013-04-25 11:54:16","0"
"2013-04-25 11:58:28","-1"
"2017-10-15 16:18:23","1"
"2014-11-27 09:00:50","0"
"2013-04-15 11:55:54","0"
"2013-04-15 11:59:10","0"
"2017-10-30 15:19:01","0"
"2011-12-14 10:49:37","0"
"2015-01-02 19:53:24","0"
"2012-01-06 23:40:13","1"
"2019-10-16 18:40:14","0"
"2013-04-25 20:10:52","0"
"2012-01-07 09:53:41","2"
"2013-04-25 23:11:05","1"
"2016-09-09 02:49:42","1"
"2013-04-26 01:23:27","4"
"2016-02-26 19:24:18","0"
"2013-05-02 00:12:59","2"
"2011-01-07 19:15:23","0"
"2013-04-19 07:42:38","0"
"2011-01-21 18:18:19","3"
"2019-10-29 14:38:34","2"
"2016-08-27 14:49:45","0"
"2013-11-07 12:12:52","1"
"2016-08-03 06:34:40","-1"
"2010-10-06 15:07:34","2"
"2019-11-26 02:46:58","0"
"2019-11-26 03:53:30","0"
"2013-10-14 17:21:43","0"
"2012-02-16 15:34:03","0"
"2012-02-16 16:56:57","0"
"2012-02-16 16:58:20","0"
"2012-10-22 12:23:34","2"
"2012-02-20 18:26:05","0"
"2016-10-14 05:02:05","0"
"2015-02-09 23:55:33","0"
"2013-12-24 11:12:12","0"
"2013-12-27 02:22:23","1"
"2012-03-04 03:35:47","0"
"2014-07-19 08:01:21","1"
"2019-11-30 17:41:18","0"
"2014-07-24 02:24:33","1"
"2012-11-06 21:09:11","1"
"2012-03-15 21:51:29","0"
"2014-07-24 11:54:30","0"
"2010-07-05 16:34:37","0"
"2012-03-16 01:20:10","2"
"2016-03-28 18:56:30","0"
"2011-05-15 16:26:15","0"
"2012-03-16 07:38:00","1"
"2014-07-24 15:00:31","1"
"2014-11-21 02:33:07","0"
"2014-04-28 00:55:37","0"
"2011-10-12 18:53:19","5"
"2010-11-08 01:41:20","11"
"2014-05-15 09:32:02","0"
"2013-04-04 19:33:29","1"
"2016-08-23 03:21:14","1"
"2013-11-03 18:25:40","0"
"2010-12-14 01:39:14","0"
"2016-02-11 00:58:00","0"
"2013-11-07 22:47:39","2"
"2016-08-31 05:12:56","1"
"2015-07-19 04:56:44","0"
"2018-05-31 04:35:49","-1"
"2015-07-21 20:52:19","0"
"2019-10-18 18:41:15","0"
"2009-08-01 17:54:54","3"
"2012-01-03 15:36:41","10"
"2008-08-04 04:48:38","23"
"2017-02-27 02:06:14","0"
"2019-09-17 09:27:20","2"
"2008-10-11 19:02:14","9"
"2013-10-16 15:25:01","2"
"2013-03-21 07:11:33","0"
"2011-10-24 05:55:37","3"
"2016-01-27 18:31:00","0"
"2016-01-27 18:31:37","1"
"2010-11-02 16:55:09","0"
"2013-10-24 15:22:17","8"
"2009-02-13 13:38:34","9"
"2013-10-26 02:03:49","1"
"2017-03-10 18:44:44","0"
"2013-03-31 18:53:37","0"
"2012-08-07 17:46:57","0"
"2009-05-12 02:50:38","1"
"2016-08-18 04:11:32","0"
"2016-08-18 04:40:43","0"
"2014-05-14 18:44:42","0"
"2010-11-28 14:39:00","1"
"2017-10-16 11:28:25","0"
