CreationDate,Score
"2017-05-03 08:56:08","2"
"2019-12-06 15:37:31","2"
"2018-03-10 18:20:04","1"
"2018-08-20 18:49:58","1"
"2019-04-13 04:01:15","3"
"2019-11-26 06:02:47","-2"
"2018-05-05 14:18:16","2"
"2019-08-18 23:46:13","1"
"2017-01-31 08:35:13","2"
"2017-01-18 05:38:49","3"
"2019-12-18 17:27:16","2"
"2018-04-30 14:24:27","1"
"2018-02-02 02:18:19","1"
"2016-10-02 06:32:36","3"
"2020-04-22 11:11:01","1"
"2020-01-11 20:39:09","2"
"2017-03-18 22:23:26","0"
"2020-05-02 18:48:25","1"
"2019-06-14 18:03:13","5"
"2018-06-15 11:33:27","2"
"2017-02-03 18:25:52","1"
"2018-08-22 23:45:43","1"
"2020-01-08 03:20:43","1"
"2018-02-15 07:32:30","1"
"2020-03-28 15:42:50","1"
"2017-05-06 16:07:28","3"
"2019-12-21 15:06:54","1"
"2019-05-04 05:14:40","0"
"2017-03-28 13:10:52","12"
"2019-12-27 12:48:37","2"
"2018-07-28 21:01:26","1"
"2020-02-14 19:42:55","1"
"2017-10-09 05:27:22","1"
"2017-10-10 11:45:20","0"
"2017-05-09 23:02:35","1"
"2019-11-20 08:38:33","0"
"2020-01-22 09:12:23","1"
"2018-03-02 10:47:44","1"
"2017-10-20 11:17:52","0"
"2019-12-11 14:18:42","1"
"2020-02-12 18:12:20","1"
"2019-10-21 20:01:51","0"
"2016-11-13 02:10:19","1"
"2017-01-04 19:11:49","3"
"2017-11-05 01:26:17","3"
"2019-11-05 15:33:27","0"
"2018-08-21 17:49:01","11"
"2018-04-10 17:09:31","0"
"2019-06-24 22:54:04","3"
"2018-09-30 08:20:01","5"
"2017-06-09 12:26:48","0"
"2017-04-24 12:43:43","0"
"2018-10-30 03:05:44","4"
"2019-12-24 06:28:16","1"
"2018-07-31 09:23:30","2"
