owner,name,created_at,stars,total_closed_issues
playframework,playframework,2011-09-07T09:24:08Z,11583,2997
django,django,2012-04-28T02:47:18Z,49121,0
ktorio,ktor,2015-08-03T16:49:36Z,6660,804
rails,rails,2008-04-11T02:19:47Z,45544,13317
spring-projects,spring-framework,2010-12-08T04:04:45Z,36833,18577
laravel,laravel,2011-06-08T03:06:08Z,59013,0
expressjs,express,2009-06-26T18:56:01Z,48517,3182
gin-gonic,gin,2014-06-16T23:57:25Z,37819,1161
vapor,vapor,2016-01-18T22:37:52Z,18617,1208
dotnet,core,2014-11-18T00:44:57Z,13550,2967
