name_with_owner,url,stars,watchers,forks,releases,created_at,primary_language,loc
python/mypy,https://github.com/python/mypy,8107,174,1197,0,2012-12-07T13:30:23Z,Python,112815
gvanrossum/ballot-box,https://github.com/gvanrossum/ballot-box,8,2,4,0,2015-03-13T23:41:12Z,Python,669
fake-python/cpython,https://github.com/fake-python/cpython,3,1,0,6,2015-11-05T12:07:26Z,Python,681659
edreamleo/make-stub-files,https://github.com/edreamleo/make-stub-files,20,3,3,0,2016-01-26T16:54:22Z,Python,4068
ilevkivskyi/com2ann,https://github.com/ilevkivskyi/com2ann,50,6,1,0,2016-09-09T07:17:02Z,Python,1648
neogeny/TatSu,https://github.com/neogeny/TatSu,146,13,33,13,2017-05-02T02:58:58Z,Python,11608
gvanrossum/mypy-dummy,https://github.com/gvanrossum/mypy-dummy,6,2,0,0,2017-08-31T16:42:53Z,Python,35
gvanrossum/pep550,https://github.com/gvanrossum/pep550,7,3,1,0,2017-09-05T21:59:49Z,Python,390
python/mypy_extensions,https://github.com/python/mypy_extensions,68,13,10,0,2019-01-14T23:37:26Z,Python,355
neogeny/pygl,https://github.com/neogeny/pygl,3,2,0,0,2019-04-27T10:47:30Z,Python,4561
gvanrossum/pegen,https://github.com/gvanrossum/pegen,147,17,19,0,2019-05-07T16:43:15Z,Python,16679
gvanrossum/guidos_time_machine,https://github.com/gvanrossum/guidos_time_machine,50,11,2,0,2020-03-05T04:06:18Z,Python,26
